1 gen,0,38,38,1
100 acre,0,20,20,1
100 beef,0,33,33,1
100 worth,0,32,32,1
106 points,0,34,34,1
14 2015,0,27,27,1
15 billion,0,27,27,1
15 days,0,34,34,1
16 girls,0,33,33,1
16 year,0,20,20,1
179 years,0,22,22,1
18 may,0,17,17,1
2 weeks,0,19,19,1
200 million,0,51,51,1
2014 am,0,17,17,1
2014 federal,0,27,27,1
2015 pm,0,19,19,1
23 2013,0,21,21,1
30 2015,0,40,40,1
4 months,0,23,23,1
6 plus,0,49,49,1
666 really,0,23,23,1
666 years,0,24,24,1
7 2015,0,20,20,1
7 people,0,25,25,1
7th heaven,0,43,43,1
a 1,0,19,19,1
a 100,0,35,35,1
a berlin,0,19,19,1
a clothing,0,24,24,1
a coopératio,0,19,19,1
a dance,0,33,33,1
a dragon,0,26,26,1
a female,0,57,57,1
a forgery,0,21,21,1
a hole,0,29,29,1
a ladies,0,32,32,1
a male,0,17,17,1
a muslim,0,58,58,1
a netflix,0,18,18,1
a pit,0,24,24,1
a president,0,17,17,1
a religion,0,17,17,1
a satirical,0,31,31,1
a size,0,18,18,1
a talking,0,19,19,1
a tip,0,17,17,1
a train,0,23,23,1
abc for,0,27,27,1
abilities act,0,93,93,1
account contact,0,17,17,1
acid rain,0,18,18,1
acre parcel,0,20,20,1
adam sandler,0,32,32,1
administration announces,0,26,26,1
administration proposes,0,25,25,1
admits all,0,17,17,1
affordable care,0,19,19,1
africans are,0,23,23,1
after attempting,0,18,18,1
after death,0,23,23,1
after fist,0,22,22,1
after obama,0,18,18,1
age to,0,20,20,1
aid in,0,22,22,1
aiding and,0,17,17,1
air freshener,0,30,30,1
air fresheners,0,25,25,1
air tonight,0,40,40,1
airplane with,0,18,18,1
al pacino,0,26,26,1
all begging,0,22,22,1
all registered,0,26,26,1
already exists,0,24,24,1
am asking,0,29,29,1
american people,0,30,30,1
american psychiatric,0,56,56,1
american sniper,0,32,32,1
americans not,0,40,40,1
americans should,0,25,25,1
americans with,0,95,95,1
amityville horror,0,35,35,1
amityville the,0,18,18,1
an acronym,0,34,34,1
an executive,0,28,28,1
an obscure,0,22,22,1
anarchy movie,0,18,18,1
ancestors once,0,32,32,1
and abetting,0,17,17,1
and benadryl,0,17,17,1
and declares,0,18,18,1
and germany,0,20,20,1
and marilyn,0,20,20,1
and michelle,0,24,24,1
and north,0,33,33,1
and pregnant,0,21,21,1
and puppies,0,21,21,1
and robitussin,0,25,25,1
and semen,0,19,19,1
and state,0,22,22,1
andrews my,0,17,17,1
angel tree,0,18,18,1
animal planet,0,27,27,1
announces nationwide,0,22,22,1
anonymous coward,0,36,36,1
apes seattl,0,24,24,1
app is,0,23,23,1
appeared in,0,24,24,1
appreciation day,0,25,25,1
appropriation for,0,20,20,1
arby s,0,20,20,1
are elephants,0,24,24,1
are lazy,0,28,28,1
aretha franklin,0,103,103,1
arnold schwarzenegger,0,36,36,1
arrest people,0,24,24,1
article claiming,0,19,19,1
article that,0,24,24,1
as false,0,18,18,1
ashley flores,0,35,35,1
ashley olsen,0,36,36,1
ask alice,0,33,33,1
ask allison,0,18,18,1
asking you,0,31,31,1
assisted suicide,0,23,23,1
assumed he,0,20,20,1
asteroid will,0,18,18,1
aston martin,0,26,26,1
at 61,0,37,37,1
at eating,0,18,18,1
at historic,0,18,18,1
