ngram,inf_count,mis_count,total_app,mis_freq
death hoax,0,166,166,1
george zimmerman,0,152,152,1
national report,0,133,133,1
marilyn monroe,1,195,196,0.994897959183674
justin bieber,1,142,143,0.993006993006993
fake news,3,182,185,0.983783783783784
a hoax,4,158,162,0.975308641975309
pm reply,6,215,221,0.972850678733032
pope francis,9,308,317,0.971608832807571
sarah palin,15,435,450,0.966666666666667
voted to,8,170,178,0.955056179775281
status false,8,159,167,0.952095808383234
reply favorite,17,318,335,0.949253731343284
false claim,9,167,176,0.948863636363636
to kill,15,238,253,0.940711462450593
president obama,32,496,528,0.939393939393939
kanye west,14,189,203,0.931034482758621
fact check,34,453,487,0.930184804928131
a photograph,10,130,140,0.928571428571429
donald trump,37,413,450,0.917777777777778
to death,13,138,151,0.913907284768212
found dead,13,135,148,0.912162162162162
the obama,13,135,148,0.912162162162162
found via,17,172,189,0.91005291005291
red bullet,16,154,170,0.905882352941176
the president,13,118,131,0.900763358778626
it read,18,159,177,0.898305084745763
to have,27,230,257,0.894941634241245
that it,17,140,157,0.89171974522293
share it,22,171,193,0.886010362694301
ukip united,19,131,150,0.873333333333333
social media,23,157,180,0.872222222222222
vladimir putin,35,235,270,0.87037037037037
osama bin,19,127,146,0.86986301369863
about contact,85,555,640,0.8671875
reality vlaamse,32,204,236,0.864406779661017
powered by,68,433,501,0.864271457085828
vineyard virtual,30,191,221,0.864253393665159
media vladimir,33,210,243,0.864197530864198
vlaamse media,33,210,243,0.864197530864198
nations vaccines,28,178,206,0.864077669902913
vaccines vineyard,29,184,213,0.863849765258216
is not,49,308,357,0.862745098039216
about us,31,194,225,0.862222222222222
virtual reality,32,200,232,0.862068965517241
is it,25,155,180,0.861111111111111
found in,30,185,215,0.86046511627907
the daily,20,123,143,0.86013986013986
contact about,34,209,243,0.860082304526749
obama s,47,286,333,0.858858858858859
be the,61,364,425,0.856470588235294
back to,50,298,348,0.85632183908046
after a,22,130,152,0.855263157894737
urban legend,36,212,248,0.854838709677419
putin wearable,37,217,254,0.854330708661417
by about,35,203,238,0.852941176470588
air force,29,167,196,0.852040816326531
the internet,50,284,334,0.850299401197605
have to,20,113,133,0.849624060150376
most trending,34,191,225,0.848888888888889
hoax powered,35,194,229,0.847161572052402
according to,45,249,294,0.846938775510204
trending news,29,159,188,0.845744680851064
the story,40,218,258,0.844961240310077
tech hoax,37,201,238,0.84453781512605
world news,24,130,154,0.844155844155844
bin laden,35,187,222,0.842342342342342
contact the,34,181,215,0.841860465116279
we are,29,154,183,0.841530054644809
it follow,24,126,150,0.84
wearable tech,43,225,268,0.83955223880597
be a,30,156,186,0.838709677419355
i would,36,187,223,0.838565022421525
united nations,35,181,216,0.837962962962963
s new,28,144,172,0.837209302325582
snopes com,24,123,147,0.836734693877551
super bowl,29,148,177,0.836158192090396
first to,50,255,305,0.836065573770492
barack obama,182,924,1106,0.835443037974684
home about,28,142,170,0.835294117647059
mitt romney,26,131,157,0.834394904458599
that is,29,145,174,0.833333333333333
news politics,28,139,167,0.832335329341317
did not,27,134,161,0.832298136645963
the word,30,148,178,0.831460674157303
true or,24,118,142,0.830985915492958
see it,36,176,212,0.830188679245283
michelle obama,50,241,291,0.828178694158076
based on,30,144,174,0.827586206896552
news about,27,129,156,0.826923076923077
new contact,27,127,154,0.824675324675325
on facebook,54,254,308,0.824675324675325
would say,26,121,147,0.82312925170068
contact us,257,1189,1446,0.822268326417704
was born,24,111,135,0.822222222222222
the white,25,115,140,0.821428571428571
claim a,24,110,134,0.82089552238806
that a,30,137,167,0.820359281437126
us about,180,819,999,0.81981981981982
0 0,205,931,1136,0.819542253521127
that the,129,584,713,0.819074333800842
follow the,27,122,149,0.818791946308725
to top,26,117,143,0.818181818181818
of their,34,152,186,0.817204301075269
not a,27,118,145,0.813793103448276
this from,49,214,263,0.813688212927757
more what,29,126,155,0.812903225806452
share on,174,756,930,0.812903225806452
us subscribe,32,138,170,0.811764705882353
the biggest,32,136,168,0.80952380952381
crime police,25,106,131,0.809160305343512
hillary clinton,34,144,178,0.808988764044944
about this,205,866,1071,0.80859010270775
police government,26,109,135,0.807407407407407
terrorism see,27,113,140,0.807142857142857
what s,35,145,180,0.805555555555556
that he,43,178,221,0.805429864253394
government religious,27,111,138,0.804347826086957
religious terrorism,27,110,137,0.802919708029197
this article,223,906,1129,0.802480070859167
will be,63,255,318,0.80188679245283
or false,26,105,131,0.801526717557252
see more,35,141,176,0.801136363636364
the new,58,232,290,0.8
the united,84,336,420,0.8
to be,198,787,985,0.798984771573604
say the,27,107,134,0.798507462686567
privacy policy,38,148,186,0.795698924731183
cell phone,27,105,132,0.795454545454545
this is,119,451,570,0.791228070175439
it s,76,286,362,0.790055248618785
the latest,31,116,147,0.789115646258503
as the,54,202,256,0.7890625
want to,33,123,156,0.788461538461538
is the,131,487,618,0.788025889967638
don t,49,182,231,0.787878787878788
going to,35,130,165,0.787878787878788
on twitter,33,122,155,0.787096774193548
the world,109,401,510,0.786274509803922
the web,31,114,145,0.786206896551724
white house,51,187,238,0.785714285714286
urban legends,109,399,508,0.785433070866142
they are,46,168,214,0.785046728971963
by the,107,388,495,0.783838383838384
list of,29,105,134,0.783582089552239
at a,52,187,239,0.782426778242678
about the,83,298,381,0.782152230971129
there is,48,172,220,0.781818181818182
is a,259,922,1181,0.78069432684166
a new,59,210,269,0.780669144981413
has been,136,483,619,0.780290791599354
is that,35,124,159,0.779874213836478
as a,131,463,594,0.779461279461279
the first,151,529,680,0.777941176470588
it is,126,438,564,0.776595744680851
in a,225,778,1003,0.77567298105683
over the,39,134,173,0.774566473988439
how to,74,254,328,0.774390243902439
with the,114,388,502,0.772908366533865
to see,80,272,352,0.772727272727273
out of,86,292,378,0.772486772486773
one of,103,349,452,0.77212389380531
go to,42,142,184,0.771739130434783
in his,45,152,197,0.771573604060914
log in,81,272,353,0.770538243626062
of this,45,150,195,0.769230769230769
shows a,42,140,182,0.769230769230769
the most,103,343,446,0.769058295964126
to do,34,113,147,0.768707482993197
link to,39,129,168,0.767857142857143
during a,44,145,189,0.767195767195767
sign in,126,415,541,0.767097966728281
from a,66,217,283,0.76678445229682
have been,73,240,313,0.766773162939297
united states,123,403,526,0.766159695817491
it was,88,285,373,0.764075067024129
up to,36,116,152,0.763157894736842
to make,52,166,218,0.761467889908257
you have,42,134,176,0.761363636363636
number of,41,130,171,0.760233918128655
all the,38,120,158,0.759493670886076
read more,205,646,851,0.759106933019976
and the,165,519,684,0.758771929824562
home news,49,153,202,0.757425742574258
the best,54,167,221,0.755656108597285
after the,46,142,188,0.75531914893617
click to,61,186,247,0.753036437246964
the same,54,164,218,0.752293577981651
in the,904,2721,3625,0.750620689655172
to post,33,99,132,0.75
of a,258,773,1031,0.749757516973812
on the,401,1185,1586,0.747162673392182
on a,87,257,344,0.747093023255814
bernie sanders,35,103,138,0.746376811594203
is an,47,138,185,0.745945945945946
from the,236,691,927,0.745415318230852
i have,40,117,157,0.745222929936306
reply to,46,134,180,0.744444444444445
months ago,65,189,254,0.744094488188976
year old,38,110,148,0.743243243243243
what is,53,153,206,0.742718446601942
to to,51,146,197,0.741116751269036
sign up,87,249,336,0.741071428571429
and a,63,180,243,0.740740740740741
need to,39,111,150,0.74
in new,76,216,292,0.73972602739726
born in,37,105,142,0.73943661971831
you can,91,258,349,0.739255014326648
would be,42,119,161,0.739130434782609
and i,35,99,134,0.738805970149254
to go,43,121,164,0.737804878048781
facebook twitter,67,188,255,0.737254901960784
search query,36,101,137,0.737226277372263
forum posts,51,143,194,0.737113402061856
a man,60,168,228,0.736842105263158
to the,415,1162,1577,0.736842105263158
has a,36,100,136,0.735294117647059
you are,71,197,268,0.735074626865672
view profile,53,147,200,0.735
