ngram,inf_count,mis_count,total_app,mis_freq
00 bee,0,35,35,1
00 wort,0,43,43,1
06 point,0,39,39,1
1 exclusiv,0,36,36,1
6 girl,0,42,42,1
66 year,0,37,37,1
70 ma,0,40,40,1
abelle arreste,0,67,67,1
abriel iglesia,0,41,41,1
acebook wil,0,43,43,1
ack acros,0,35,35,1
ack wher,0,34,34,1
addy longleg,0,36,36,1
aden smit,0,90,90,1
adies forbidde,0,38,38,1
adies roo,0,37,37,1
agle scou,0,45,45,1
ail gu,0,43,43,1
aily curran,0,273,273,1
aily repor,0,85,85,1
air extension,0,45,45,1
air weav,0,37,37,1
ake unauthorize,0,34,34,1
aking sod,0,41,41,1
akota bac,0,40,40,1
aldness immediatel,0,39,39,1
aleel whit,0,49,49,1
alico cat,0,33,33,1
alifornia departmen,0,33,33,1
alin claime,0,74,74,1
alin thanksgivin,0,36,36,1
all cente,0,33,33,1
alse example,0,146,146,1
alse repor,0,46,46,1
amera flyin,0,46,46,1
amie dorna,0,34,34,1
an ow,0,42,42,1
an relat,0,52,52,1
andfill afte,0,42,42,1
anels drai,0,41,41,1
ang lis,0,45,45,1
ang membe,0,51,51,1
ang rall,0,45,45,1
anny dye,0,56,56,1
anola oi,0,42,42,1
ar salesma,0,33,33,1
arijuana i,0,34,34,1
arkest bab,0,43,43,1
arl jone,0,55,55,1
arley davidso,0,41,41,1
arming activis,0,66,66,1
arrie underwoo,0,47,47,1
artin lawrenc,0,47,47,1
aryland middl,0,42,42,1
as circulate,0,41,41,1
asa find,0,40,40,1
asked marauder,0,38,38,1
ast mea,0,78,78,1
at hi,0,35,35,1
atican counci,0,91,91,1
ating lovemakin,0,33,33,1
ational repor,0,268,268,1
ationwide musli,0,68,68,1
atirical piec,0,40,40,1
atirical websit,0,96,96,1
atti labell,0,108,108,1
attle guard,0,37,37,1
atural bor,0,37,37,1
aught stealin,0,39,39,1
aul horne,0,36,36,1
auryn hil,0,36,36,1
ause genita,0,43,43,1
avern abuttin,0,36,36,1
avidson dealershi,0,34,34,1
avorite thing,0,66,66,1
aw fis,0,45,45,1
awn par,0,33,33,1
ay rais,0,33,33,1
aying merr,0,40,40,1
ayne knigh,0,61,61,1
azy fool,0,52,52,1
bi rai,0,35,35,1
bilities ac,0,99,99,1
bola vaccin,0,34,34,1
butting aeoli,0,36,36,1
ccidentally vote,0,42,42,1
cdonalds i,0,33,33,1
chool canteen,0,40,40,1
chool require,0,48,48,1
cout certificate,0,37,37,1
ctivation infowar,0,114,114,1
ctober comment,0,60,60,1
ctor sylveste,0,46,46,1
d mcmaho,0,33,33,1
dministration propose,0,38,38,1
dvocates o,0,33,33,1
e delaye,0,39,39,1
e merr,0,38,38,1
e spanke,0,36,36,1
ead mermai,0,37,37,1
eaders wh,0,39,39,1
eal american,0,69,69,1
eal birt,0,36,36,1
eal skill,0,36,36,1
ear watso,0,46,46,1
eartless felon,0,34,34,1
eather a,0,43,43,1
ebt relie,0,35,35,1
econd seaso,0,38,38,1
econd slic,0,94,94,1
ecovering america,0,34,34,1
ecret o,0,35,35,1
ed bund,0,35,35,1
ed lobste,0,53,53,1
eddah saud,0,33,33,1
ee res,0,38,38,1
eek mil,0,46,46,1
eels tha,0,33,33,1
eff gordo,0,79,79,1
efused secon,0,43,43,1
egal drinkin,0,63,63,1
