death hoax,0,166,166,100%
george zimmerman,0,152,152,100%
marilyn monroe,1,195,196,99%
justin bieber,1,142,143,99%
pm reply,6,215,221,97%
pope francis,9,308,317,97%
sarah palin,15,435,450,97%
reply favorite,17,318,335,95%
president obama,32,496,528,94%
kanye west,14,189,203,93%
donald trump,37,413,450,92%
vladimir putin,35,235,270,87%
osama bin,19,127,146,87%
reality vlaamse,32,204,236,86%
media vladimir,33,210,243,86%
vlaamse media,33,210,243,86%
nations vaccines,28,178,206,86%
vaccines vineyard,29,184,213,86%
obama s,47,286,333,86%
air force,29,167,196,85%
tech hoax,37,201,238,84%
world news,24,130,154,84%
bin laden,35,187,222,84%
super bowl,29,148,177,84%
barack obama,182,924,1106,84%
mitt romney,26,131,157,83%
news politics,28,139,167,83%
crime police,25,106,131,81%
privacy policy,38,148,186,80%
cell phone,27,105,132,80%
don t,49,182,231,79%
home news,49,153,202,76%
bernie sanders,35,103,138,75%
facebook twitter,67,188,255,74%
search query,36,101,137,74%
forum posts,51,143,194,74%
view profile,53,147,200,74%
profile view,52,144,196,73%
view forum,55,152,207,73%
w bush,82,224,306,73%
join date,110,292,402,73%
web search,40,106,146,73%
____________________________________________________________________________________________________________________________________________________________________________________________
photograph shows,84,191,275,69%
i m,47,105,152,69%
george w,105,213,318,67%
post reply,48,96,144,67%
los angeles,59,108,167,65%
trade center,95,77,172,45%
photographs show,77,62,139,45%
world trade,104,79,183,43%
john mccain,86,61,147,41%
____________________________________________________________________________________________________________________________________________________________________________________________
breast cancer,160,59,219,27%
